lot_id,product_id,plant_id,supplier_id,batch_number,manufacture_date,target_release_date,current_release_status,is_high_priority,issue_flags
LOT-10077,PRD-118,PLT-004,SUP-531,BN-90077,2026-03-02,2026-04-06,REVIEW,False,
LOT-10078,PRD-108,PLT-004,SUP-537,BN-90078,2026-01-15,2026-02-19,READY,False,
LOT-10079,PRD-123,PLT-004,SUP-537,BN-90079,2026-01-16,2026-02-13,HOLD,False,
LOT-10080,PRD-125,PLT-001,SUP-533,BN-90080,2026-02-02,2026-03-02,HOLD,True,
LOT-10081,PRD-102,PLT-004,SUP-525,BN-90081,2026-05-10,2026-05-20,REVIEW,False,
LOT-10082,PRD-104,PLT-002,SUP-506,BN-90082,2026-02-27,2026-03-13,HOLD,False,
LOT-10083,PRD-116,PLT-002,SUP-518,BN-90083,2026-02-25,2026-03-11,READY,False,
LOT-10084,PRD-101,PLT-004,SUP-538,BN-90084,2026-04-25,2026-05-05,HOLD,True,
LOT-10085,PRD-117,PLT-005,SUP-513,BN-90085,2026-01-27,2026-03-03,HOLD,False,
LOT-10086,PRD-118,PLT-004,SUP-524,BN-90086,2026-03-17,2026-04-21,READY,False,
LOT-10087,PRD-118,PLT-004,SUP-530,BN-90087,2026-04-17,2026-05-22,REVIEW,False,
LOT-10088,PRD-121,PLT-002,SUP-501,BN-90088,2026-02-14,2026-02-28,BLOCKED,False,
LOT-10089,PRD-123,PLT-004,SUP-525,BN-90089,2026-04-29,2026-05-27,REVIEW,False,
LOT-10090,PRD-121,PLT-002,SUP-504,BN-90090,2026-04-29,2026-05-13,READY,False,
LOT-10091,PRD-118,PLT-002,SUP-527,BN-90091,2026-04-11,2026-05-16,READY,False,
LOT-10092,PRD-120,PLT-004,SUP-517,BN-90092,2026-03-26,2026-04-30,READY,False,
LOT-10093,PRD-113,PLT-002,SUP-515,BN-90093,2026-02-08,2026-02-18,READY,False,
LOT-10094,PRD-104,PLT-003,SUP-527,BN-90094,2026-01-24,2026-02-07,READY,False,
LOT-10095,PRD-109,PLT-003,SUP-530,BN-90095,2026-02-27,2026-03-09,READY,False,
LOT-10096,PRD-117,PLT-004,SUP-518,BN-90096,2026-01-31,2026-03-07,HOLD,False,
LOT-10097,PRD-123,PLT-001,SUP-526,BN-90097,2026-01-07,2026-02-04,HOLD,False,
LOT-10098,PRD-116,PLT-002,SUP-536,BN-90098,2026-01-05,2026-01-19,BLOCKED,False,
LOT-10099,PRD-116,PLT-002,SUP-524,BN-90099,2026-03-14,2026-03-28,REVIEW,False,
LOT-10100,PRD-123,PLT-002,SUP-518,BN-90100,2026-03-08,2026-04-05,READY,False,
LOT-10101,PRD-102,PLT-003,SUP-519,BN-90101,2026-02-17,2026-02-27,REVIEW,False,
LOT-10102,PRD-108,PLT-004,SUP-517,BN-90102,2026-05-02,2026-06-06,READY,False,
LOT-10103,PRD-102,PLT-003,SUP-527,BN-90103,2026-03-21,2026-03-31,REVIEW,True,
LOT-10104,PRD-124,PLT-004,SUP-522,BN-90104,2026-01-22,2026-02-05,HOLD,True,
LOT-10105,PRD-111,PLT-004,SUP-539,BN-90105,2026-02-15,2026-03-15,READY,False,
LOT-10106,PRD-116,PLT-002,SUP-531,BN-90106,2026-04-11,2026-04-25,BLOCKED,False,
LOT-10107,PRD-104,PLT-003,SUP-518,BN-90107,2026-01-07,2026-01-21,REVIEW,True,
LOT-10108,PRD-114,PLT-005,SUP-535,BN-90108,2026-03-29,2026-04-08,READY,False,
LOT-10109,PRD-102,PLT-004,SUP-509,BN-90109,2026-01-08,2026-01-18,BLOCKED,True,
LOT-10110,PRD-102,PLT-003,SUP-540,BN-90110,2026-01-24,2026-02-03,READY,False,
LOT-10111,PRD-106,PLT-005,SUP-518,BN-90111,2026-05-06,2026-05-20,READY,False,
LOT-10112,PRD-115,PLT-003,SUP-537,BN-90112,2026-03-23,2026-04-06,REVIEW,False,
LOT-10113,PRD-106,PLT-005,SUP-522,BN-90113,2026-05-08,2026-05-22,READY,False,
LOT-10114,PRD-113,PLT-003,SUP-507,BN-90114,2026-04-01,2026-04-11,HOLD,False,
LOT-10115,PRD-109,PLT-002,SUP-509,BN-90115,2026-03-21,2026-03-31,REVIEW,False,
LOT-10116,PRD-105,PLT-005,SUP-513,BN-90116,2026-04-13,2026-04-27,READY,False,
LOT-10117,PRD-106,PLT-005,SUP-505,BN-90117,2026-04-15,2026-04-29,READY,False,
LOT-10118,PRD-124,PLT-005,SUP-522,BN-90118,2026-01-13,2026-01-27,REVIEW,False,
LOT-10119,PRD-117,PLT-004,SUP-506,BN-90119,2026-01-18,2026-02-22,READY,False,
LOT-10120,PRD-118,PLT-004,SUP-511,BN-90120,2026-01-24,2026-02-28,READY,False,
LOT-10121,PRD-124,PLT-004,SUP-531,BN-90121,2026-03-24,2026-04-07,HOLD,False,
LOT-10122,PRD-118,PLT-005,SUP-537,BN-90122,2026-03-01,2026-04-05,HOLD,False,
LOT-10123,PRD-113,PLT-005,SUP-522,BN-90123,2026-04-21,2026-05-01,BLOCKED,False,
LOT-10124,PRD-118,PLT-002,SUP-511,BN-90124,2026-04-11,2026-05-16,REVIEW,False,
LOT-10125,PRD-116,PLT-002,SUP-507,BN-90125,2026-01-08,2026-01-22,REVIEW,False,
LOT-10126,PRD-119,PLT-002,SUP-516,BN-90126,2026-02-19,2026-03-01,HOLD,False,
LOT-10127,PRD-123,PLT-002,SUP-536,BN-90127,2026-04-27,2026-05-25,READY,True,
LOT-10128,PRD-109,PLT-002,SUP-526,BN-90128,2026-02-04,2026-02-14,REVIEW,False,
LOT-10129,PRD-111,PLT-003,SUP-512,BN-90129,2026-03-06,2026-04-03,REVIEW,False,
LOT-10130,PRD-102,PLT-003,SUP-524,BN-90130,2026-02-11,2026-02-21,READY,False,
LOT-10131,PRD-113,PLT-003,SUP-540,BN-90131,2026-03-20,2026-03-30,READY,False,
LOT-10132,PRD-114,PLT-005,SUP-519,BN-90132,2026-04-10,2026-04-20,REVIEW,False,
LOT-10133,PRD-118,PLT-004,SUP-512,BN-90133,2026-02-13,2026-03-20,READY,True,
LOT-10134,PRD-109,PLT-002,SUP-524,BN-90134,2026-01-20,2026-01-30,REVIEW,False,
LOT-10135,PRD-109,PLT-001,SUP-526,BN-90135,2026-02-01,2026-02-11,REVIEW,False,
LOT-10136,PRD-123,PLT-001,SUP-532,BN-90136,2026-03-13,2026-04-10,REVIEW,False,
LOT-10137,PRD-109,PLT-002,SUP-513,BN-90137,2026-02-03,2026-02-13,READY,False,
LOT-10138,PRD-120,PLT-005,SUP-501,BN-90138,2026-02-09,2026-03-16,READY,True,
LOT-10139,PRD-113,PLT-002,SUP-529,BN-90139,2026-05-05,2026-05-15,READY,False,Pending QA Review
LOT-10140,PRD-119,PLT-002,SUP-516,BN-90140,2026-04-26,2026-05-06,READY,False,Pending QA Review
LOT-10141,PRD-118,PLT-005,SUP-522,BN-90141,2026-02-17,2026-03-24,READY,True,Pending QA Review
LOT-10142,PRD-118,PLT-005,SUP-526,BN-90142,2026-04-20,2026-05-25,READY,False,Pending QA Review
LOT-10143,PRD-122,PLT-004,SUP-527,BN-90143,2026-04-02,2026-05-07,READY,True,Pending QA Review
LOT-10144,PRD-122,PLT-004,SUP-512,BN-90144,2026-01-15,2026-02-19,BLOCKED,True,Pending QA Review
LOT-10145,PRD-117,PLT-004,SUP-527,BN-90145,2026-03-22,2026-04-26,HOLD,False,Pending QA Review
LOT-10146,PRD-120,PLT-004,SUP-515,BN-90146,2026-03-03,2026-04-07,HOLD,False,Pending QA Review
LOT-10147,PRD-123,PLT-001,SUP-501,BN-90147,2026-02-13,2026-03-13,REVIEW,True,Pending QA Review
LOT-10148,PRD-105,PLT-005,SUP-538,BN-90148,2026-01-31,2026-02-14,REVIEW,False,Pending QA Review
LOT-10149,PRD-104,PLT-003,SUP-536,BN-90149,2026-02-04,2026-02-18,READY,True,Pending QA Review
LOT-10150,PRD-101,PLT-004,SUP-526,BN-90150,2026-03-03,2026-03-13,REVIEW,False,Pending QA Review
LOT-10151,PRD-102,PLT-004,SUP-518,BN-90151,2026-02-10,2026-02-20,REVIEW,False,Pending QA Review
LOT-10152,PRD-118,PLT-004,SUP-515,BN-90152,2026-04-02,2026-05-07,READY,False,Pending QA Review
LOT-10153,PRD-124,PLT-003,SUP-529,BN-90153,2026-03-30,2026-04-13,HOLD,True,Pending QA Review
LOT-10154,PRD-106,PLT-005,SUP-503,BN-90154,2026-02-02,2026-02-16,REVIEW,False,Pending QA Review
LOT-10155,PRD-108,PLT-003,SUP-526,BN-90155,2026-01-12,2026-02-16,READY,False,Pending QA Review
LOT-10156,PRD-122,PLT-004,SUP-516,BN-90156,2026-03-02,2026-04-06,READY,False,Pending QA Review
LOT-10157,PRD-117,PLT-003,SUP-520,BN-90157,2026-03-10,2026-04-14,REVIEW,False,Pending QA Review
LOT-10158,PRD-123,PLT-002,SUP-526,BN-90158,2026-04-28,2026-05-26,READY,False,Pending QA Review
LOT-10159,PRD-111,PLT-004,SUP-537,BN-90159,2026-01-16,2026-02-13,READY,False,Pending QA Review
LOT-10160,PRD-122,PLT-004,SUP-519,BN-90160,2026-05-06,2026-06-10,READY,False,Pending QA Review
LOT-10161,PRD-112,PLT-002,SUP-534,BN-90161,2026-01-10,2026-01-20,HOLD,True,Pending QA Review
LOT-10162,PRD-120,PLT-004,SUP-521,BN-90162,2026-03-02,2026-04-06,HOLD,True,Pending QA Review
LOT-10163,PRD-123,PLT-001,SUP-525,BN-90163,2026-03-27,2026-04-24,HOLD,False,Pending QA Review
LOT-10164,PRD-118,PLT-005,SUP-510,BN-90164,2026-02-26,2026-04-02,READY,False,Pending QA Review
LOT-10165,PRD-108,PLT-004,SUP-537,BN-90165,2026-02-26,2026-04-02,REVIEW,False,Pending QA Review
LOT-10166,PRD-117,PLT-003,SUP-507,BN-90166,2026-03-16,2026-04-20,READY,True,Pending QA Review
LOT-10167,PRD-111,PLT-004,SUP-532,BN-90167,2026-01-19,2026-02-16,BLOCKED,False,Pending QA Review
LOT-10168,PRD-120,PLT-001,SUP-504,BN-90168,2026-03-30,2026-05-04,HOLD,False,Pending QA Review
LOT-10169,PRD-103,PLT-003,SUP-521,BN-90169,2026-03-12,2026-04-02,READY,False,Pending QA Review
LOT-10170,PRD-124,PLT-003,SUP-510,BN-90170,2026-04-12,2026-04-26,READY,False,Pending QA Review
LOT-10171,PRD-107,PLT-002,SUP-527,BN-90171,2026-03-02,2026-03-12,HOLD,False,Pending QA Review
LOT-10172,PRD-102,PLT-003,SUP-505,BN-90172,2026-03-23,2026-04-02,HOLD,False,Pending QA Review
LOT-10173,PRD-113,PLT-003,SUP-512,BN-90173,2026-01-06,2026-01-16,REVIEW,True,Pending QA Review
LOT-10174,PRD-106,PLT-005,SUP-503,BN-90174,2026-05-06,2026-05-20,READY,False,Pending QA Review
LOT-10175,PRD-119,PLT-002,SUP-535,BN-90175,2026-02-11,2026-02-21,REVIEW,False,Pending QA Review
LOT-10176,PRD-118,PLT-005,SUP-507,BN-90176,2026-02-05,2026-03-12,READY,True,Pending QA Review
LOT-10177,PRD-109,PLT-002,SUP-516,BN-90177,2026-03-11,2026-03-21,REVIEW,True,Pending QA Review
LOT-10178,PRD-104,PLT-002,SUP-517,BN-90178,2026-04-13,2026-04-27,HOLD,False,Pending QA Review
LOT-10179,PRD-120,PLT-001,SUP-518,BN-90179,2026-04-20,2026-05-25,READY,False,Pending QA Review
LOT-10180,PRD-123,PLT-001,SUP-532,BN-90180,2026-03-30,2026-04-27,REVIEW,True,Pending QA Review
LOT-10181,PRD-120,PLT-005,SUP-526,BN-90181,2026-02-18,2026-03-25,READY,False,Pending QA Review
LOT-10182,PRD-116,PLT-002,SUP-524,BN-90182,2026-05-04,2026-05-18,READY,True,Pending QA Review
LOT-10183,PRD-111,PLT-003,SUP-529,BN-90183,2026-02-23,2026-03-23,READY,False,Pending QA Review
LOT-10184,PRD-102,PLT-004,SUP-527,BN-90184,2026-04-10,2026-04-20,REVIEW,False,High-Risk Supplier
LOT-10185,PRD-116,PLT-002,SUP-523,BN-90185,2026-03-30,2026-04-13,HOLD,False,High-Risk Supplier
LOT-10186,PRD-108,PLT-003,SUP-514,BN-90186,2026-05-08,2026-06-12,READY,False,High-Risk Supplier
LOT-10187,PRD-123,PLT-001,SUP-504,BN-90187,2026-04-26,2026-05-24,READY,False,High-Risk Supplier
LOT-10188,PRD-105,PLT-005,SUP-539,BN-90188,2026-05-01,2026-05-15,READY,False,High-Risk Supplier
LOT-10189,PRD-117,PLT-004,SUP-518,BN-90189,2026-05-09,2026-06-13,READY,False,High-Risk Supplier
LOT-10190,PRD-111,PLT-004,SUP-506,BN-90190,2026-03-25,2026-04-22,REVIEW,False,High-Risk Supplier
LOT-10191,PRD-114,PLT-004,SUP-540,BN-90191,2026-04-24,2026-05-04,REVIEW,False,High-Risk Supplier
LOT-10192,PRD-124,PLT-003,SUP-510,BN-90192,2026-04-28,2026-05-12,REVIEW,False,High-Risk Supplier
LOT-10193,PRD-102,PLT-004,SUP-537,BN-90193,2026-01-13,2026-01-23,READY,False,High-Risk Supplier
LOT-10194,PRD-113,PLT-002,SUP-522,BN-90194,2026-04-10,2026-04-20,READY,False,High-Risk Supplier
LOT-10195,PRD-124,PLT-003,SUP-514,BN-90195,2026-04-26,2026-05-10,READY,True,High-Risk Supplier
LOT-10196,PRD-113,PLT-003,SUP-518,BN-90196,2026-01-10,2026-01-20,READY,True,Incomplete Batch Record
LOT-10197,PRD-114,PLT-005,SUP-535,BN-90197,2026-03-01,2026-03-11,READY,False,Incomplete Batch Record
LOT-10198,PRD-122,PLT-004,SUP-535,BN-90198,2026-04-16,2026-05-21,READY,True,Incomplete Batch Record
LOT-10199,PRD-123,PLT-004,SUP-516,BN-90199,2026-03-25,2026-04-22,REVIEW,False,Incomplete Batch Record
LOT-10200,PRD-123,PLT-001,SUP-513,BN-90200,2026-02-03,2026-03-03,REVIEW,False,Incomplete Batch Record
LOT-10201,PRD-111,PLT-004,SUP-540,BN-90201,2026-01-06,2026-02-03,HOLD,False,Incomplete Batch Record
LOT-10202,PRD-113,PLT-002,SUP-510,BN-90202,2026-03-15,2026-03-25,READY,False,Incomplete Batch Record
LOT-10203,PRD-114,PLT-005,SUP-510,BN-90203,2026-02-12,2026-02-22,REVIEW,False,Incomplete Batch Record
LOT-10204,PRD-111,PLT-004,SUP-513,BN-90204,2026-04-23,2026-05-21,READY,False,Incomplete Batch Record
LOT-10205,PRD-118,PLT-005,SUP-508,BN-90205,2026-02-04,2026-03-11,READY,False,Incomplete Batch Record
LOT-10206,PRD-113,PLT-002,SUP-526,BN-90206,2026-02-11,2026-02-21,READY,False,Incomplete Batch Record
LOT-10207,PRD-117,PLT-003,SUP-505,BN-90207,2026-01-06,2026-02-10,REVIEW,False,Incomplete Batch Record
LOT-10208,PRD-103,PLT-003,SUP-536,BN-90208,2026-04-10,2026-05-01,REVIEW,False,Incomplete Batch Record
LOT-10209,PRD-113,PLT-002,SUP-506,BN-90209,2026-03-23,2026-04-02,HOLD,True,Incomplete Batch Record
LOT-10210,PRD-109,PLT-002,SUP-510,BN-90210,2026-02-06,2026-02-16,REVIEW,False,Incomplete Batch Record
LOT-10211,PRD-124,PLT-005,SUP-517,BN-90211,2026-04-22,2026-05-06,READY,True,Missing COA
LOT-10212,PRD-124,PLT-003,SUP-538,BN-90212,2026-01-10,2026-01-24,READY,False,Missing COA
LOT-10213,PRD-123,PLT-001,SUP-501,BN-90213,2026-04-08,2026-05-06,READY,False,Missing COA
LOT-10214,PRD-113,PLT-005,SUP-538,BN-90214,2026-02-27,2026-03-09,READY,True,Missing COA
LOT-10215,PRD-120,PLT-005,SUP-533,BN-90215,2026-03-13,2026-04-17,REVIEW,False,Missing COA
LOT-10216,PRD-108,PLT-004,SUP-509,BN-90216,2026-05-01,2026-06-05,HOLD,False,Missing COA
LOT-10217,PRD-113,PLT-002,SUP-527,BN-90217,2026-04-26,2026-05-06,READY,True,Missing COA
LOT-10218,PRD-104,PLT-002,SUP-537,BN-90218,2026-04-11,2026-04-25,BLOCKED,False,Missing COA
LOT-10219,PRD-125,PLT-001,SUP-536,BN-90219,2026-05-08,2026-06-05,HOLD,False,Missing COA
LOT-10220,PRD-104,PLT-003,SUP-503,BN-90220,2026-01-06,2026-01-20,READY,True,Missing COA
LOT-10221,PRD-115,PLT-003,SUP-540,BN-90221,2026-04-10,2026-04-24,REVIEW,False,Missing COA
LOT-10222,PRD-124,PLT-003,SUP-535,BN-90222,2026-01-18,2026-02-01,REVIEW,False,Missing COA
LOT-10223,PRD-123,PLT-004,SUP-504,BN-90223,2026-02-15,2026-03-15,HOLD,False,Missing COA
LOT-10224,PRD-104,PLT-002,SUP-503,BN-90224,2026-04-20,2026-05-04,REVIEW,False,Missing COA
LOT-10225,PRD-124,PLT-004,SUP-507,BN-90225,2026-01-19,2026-02-02,READY,False,Failed Environmental Monitoring
LOT-10226,PRD-113,PLT-003,SUP-509,BN-90226,2026-01-19,2026-01-29,READY,False,Failed Environmental Monitoring
LOT-10227,PRD-107,PLT-002,SUP-539,BN-90227,2026-03-04,2026-03-14,READY,False,Failed Environmental Monitoring
LOT-10228,PRD-120,PLT-005,SUP-511,BN-90228,2026-03-21,2026-04-25,REVIEW,True,Failed Environmental Monitoring
LOT-10229,PRD-117,PLT-004,SUP-538,BN-90229,2026-01-17,2026-02-21,HOLD,False,Failed Environmental Monitoring
LOT-10230,PRD-112,PLT-002,SUP-510,BN-90230,2026-04-03,2026-04-13,READY,False,Failed Environmental Monitoring
LOT-10231,PRD-111,PLT-003,SUP-518,BN-90231,2026-01-17,2026-02-14,BLOCKED,False,Failed Environmental Monitoring
LOT-10232,PRD-124,PLT-004,SUP-502,BN-90232,2026-01-12,2026-01-26,READY,True,Failed Environmental Monitoring
LOT-10233,PRD-106,PLT-005,SUP-511,BN-90233,2026-01-16,2026-01-30,REVIEW,False,Failed Environmental Monitoring
LOT-10234,PRD-123,PLT-002,SUP-528,BN-90234,2026-01-11,2026-02-08,HOLD,False,Failed Environmental Monitoring
LOT-10235,PRD-107,PLT-002,SUP-506,BN-90235,2026-01-31,2026-02-10,READY,False,Failed Environmental Monitoring
LOT-10236,PRD-109,PLT-003,SUP-511,BN-90236,2026-02-01,2026-02-11,HOLD,False,Incomplete Batch Record;Missing COA
LOT-10237,PRD-108,PLT-003,SUP-502,BN-90237,2026-01-05,2026-02-09,READY,False,Incomplete Batch Record;Missing COA
LOT-10238,PRD-107,PLT-002,SUP-517,BN-90238,2026-02-06,2026-02-16,HOLD,True,Incomplete Batch Record;Missing COA
LOT-10239,PRD-102,PLT-003,SUP-516,BN-90239,2026-01-06,2026-01-16,READY,False,Incomplete Batch Record;Missing COA
LOT-10240,PRD-123,PLT-001,SUP-535,BN-90240,2026-01-07,2026-02-04,READY,True,Incomplete Batch Record;Missing COA
LOT-10241,PRD-117,PLT-004,SUP-519,BN-90241,2026-01-19,2026-02-23,REVIEW,False,Incomplete Batch Record;Missing COA
LOT-10242,PRD-115,PLT-003,SUP-534,BN-90242,2026-03-21,2026-04-04,READY,False,Incomplete Batch Record;Missing COA
LOT-10243,PRD-123,PLT-004,SUP-535,BN-90243,2026-04-08,2026-05-06,HOLD,False,Incomplete Batch Record;Missing COA
LOT-10244,PRD-120,PLT-004,SUP-519,BN-90244,2026-03-04,2026-04-08,REVIEW,True,Pending QA Review;High-Risk Supplier
LOT-10245,PRD-118,PLT-005,SUP-514,BN-90245,2026-02-28,2026-04-04,REVIEW,False,Pending QA Review;High-Risk Supplier
LOT-10246,PRD-118,PLT-002,SUP-532,BN-90246,2026-04-30,2026-06-04,READY,False,Pending QA Review;High-Risk Supplier
