training_id,change_id,role,plant_id,product_id,completion_status,due_date,is_overdue,release_impact
TRN-50027,CHG-40011,Technician,PLT-002,PRD-113,Overdue,2026-01-13,True,Release Blocked
TRN-50028,CHG-40005,Manufacturing Lead,PLT-004,PRD-118,Completed,2026-03-24,False,
TRN-50029,CHG-40017,QA Specialist,PLT-005,PRD-117,Incomplete,2026-06-08,False,Release Hold
TRN-50030,CHG-40023,Supervisor,PLT-002,PRD-109,Overdue,2026-01-17,True,Release Blocked
TRN-50031,CHG-40006,QA Specialist,PLT-003,PRD-111,Pending,2026-04-12,False,Pending QA Review
TRN-50032,CHG-40010,Supervisor,PLT-002,PRD-121,Incomplete,2026-02-06,False,Pending QA Review
TRN-50033,CHG-40010,Supervisor,PLT-002,PRD-121,Completed,2026-02-15,False,
TRN-50034,CHG-40023,Manufacturing Lead,PLT-002,PRD-109,Completed,2026-01-24,False,Pending QA Review
TRN-50035,CHG-40022,Operator,PLT-001,PRD-109,Completed,2026-02-05,False,Release Hold
TRN-50036,CHG-40014,Manufacturing Lead,PLT-003,PRD-108,Completed,2026-04-13,False,
TRN-50037,CHG-40017,Operator,PLT-005,PRD-117,Completed,2026-06-15,False,Pending QA Review
TRN-50038,CHG-40015,Supervisor,PLT-002,PRD-112,Completed,2026-05-03,False,Release Hold
TRN-50039,CHG-40008,QA Specialist,PLT-005,PRD-114,Completed,2026-01-22,False,Release Hold
TRN-50040,CHG-40006,QA Specialist,PLT-003,PRD-111,Incomplete,2026-04-05,False,Release Hold
TRN-50041,CHG-40009,Validation Engineer,PLT-003,PRD-103,Pending,2026-01-22,False,Release Hold
TRN-50042,CHG-40017,Operator,PLT-005,PRD-117,Completed,2026-05-23,False,
TRN-50043,CHG-40005,Technician,PLT-004,PRD-118,Incomplete,2026-04-09,True,Release Blocked
TRN-50044,CHG-40002,Manufacturing Lead,PLT-003,PRD-104,Overdue,2026-02-24,False,Pending QA Review
TRN-50045,CHG-40006,QA Specialist,PLT-003,PRD-111,Incomplete,2026-04-05,True,Release Blocked
TRN-50046,CHG-40024,Validation Engineer,PLT-004,PRD-122,Completed,2026-05-02,False,Pending QA Review
TRN-50047,CHG-40008,Manufacturing Lead,PLT-005,PRD-114,Pending,2026-01-22,True,Release Hold
TRN-50048,CHG-40030,Technician,PLT-003,PRD-115,Overdue,2026-03-10,True,Release Blocked
TRN-50049,CHG-40022,QA Specialist,PLT-001,PRD-109,Completed,2026-01-29,False,Release Hold
TRN-50050,CHG-40004,QA Specialist,PLT-001,PRD-120,Incomplete,2026-02-13,False,Release Hold
TRN-50051,CHG-40020,Technician,PLT-002,PRD-104,Completed,2026-03-08,False,
TRN-50052,CHG-40002,Validation Engineer,PLT-003,PRD-104,Pending,2026-02-24,True,
TRN-50053,CHG-40019,QA Specialist,PLT-001,PRD-123,Completed,2026-02-05,False,Pending QA Review
TRN-50054,CHG-40014,Supervisor,PLT-003,PRD-108,Completed,2026-04-13,False,
TRN-50055,CHG-40015,Technician,PLT-002,PRD-112,Pending,2026-05-26,False,Release Hold
TRN-50056,CHG-40015,Supervisor,PLT-002,PRD-112,Completed,2026-05-19,False,
TRN-50057,CHG-40005,Validation Engineer,PLT-004,PRD-118,Pending,2026-04-02,True,
TRN-50058,CHG-40013,QA Specialist,PLT-005,PRD-118,Completed,2026-02-13,False,
TRN-50059,CHG-40025,Manufacturing Lead,PLT-001,PRD-125,Completed,2026-01-22,False,Pending QA Review
TRN-50060,CHG-40009,Technician,PLT-003,PRD-103,Overdue,2026-01-22,True,Release Blocked
TRN-50061,CHG-40013,Supervisor,PLT-005,PRD-118,Incomplete,2026-02-27,True,Release Blocked
TRN-50062,CHG-40005,Validation Engineer,PLT-004,PRD-118,Completed,2026-04-16,False,
TRN-50063,CHG-40006,Supervisor,PLT-003,PRD-111,Completed,2026-03-27,False,Pending QA Review
TRN-50064,CHG-40005,Supervisor,PLT-004,PRD-118,Completed,2026-04-09,False,Pending QA Review
TRN-50065,CHG-40011,Technician,PLT-002,PRD-113,Completed,2026-01-13,False,
TRN-50066,CHG-40011,Manufacturing Lead,PLT-002,PRD-113,Completed,2026-01-04,False,Pending QA Review
TRN-50067,CHG-40016,Validation Engineer,PLT-004,PRD-101,Completed,2026-03-30,False,Pending QA Review
TRN-50068,CHG-40010,Manufacturing Lead,PLT-002,PRD-121,Overdue,2026-02-22,True,Release Blocked
TRN-50069,CHG-40020,Operator,PLT-002,PRD-104,Incomplete,2026-03-15,False,
TRN-50070,CHG-40015,Technician,PLT-002,PRD-112,Pending,2026-05-26,False,Release Hold
TRN-50071,CHG-40013,Supervisor,PLT-005,PRD-118,Completed,2026-02-20,False,Release Hold
TRN-50072,CHG-40014,QA Specialist,PLT-003,PRD-108,Completed,2026-04-06,False,Release Hold
TRN-50073,CHG-40009,Validation Engineer,PLT-003,PRD-103,Incomplete,2026-01-13,True,Release Blocked
TRN-50074,CHG-40002,Validation Engineer,PLT-003,PRD-104,Completed,2026-02-01,False,
TRN-50075,CHG-40015,Validation Engineer,PLT-002,PRD-112,Incomplete,2026-05-12,True,Release Blocked
TRN-50076,CHG-40030,Operator,PLT-003,PRD-115,Pending,2026-03-10,False,Release Hold
TRN-50077,CHG-40004,Validation Engineer,PLT-001,PRD-120,Completed,2026-02-20,False,
TRN-50078,CHG-40019,Technician,PLT-001,PRD-123,Pending,2026-01-29,True,Release Hold
TRN-50079,CHG-40004,Supervisor,PLT-001,PRD-120,Overdue,2026-02-13,True,Release Blocked
TRN-50080,CHG-40030,Operator,PLT-003,PRD-115,Completed,2026-03-26,False,
TRN-50081,CHG-40014,Technician,PLT-003,PRD-108,Completed,2026-04-13,False,Pending QA Review
TRN-50082,CHG-40013,Operator,PLT-005,PRD-118,Completed,2026-02-04,False,
TRN-50083,CHG-40011,Technician,PLT-002,PRD-113,Completed,2026-01-20,False,
TRN-50084,CHG-40009,Operator,PLT-003,PRD-103,Incomplete,2026-01-22,False,
TRN-50085,CHG-40005,Manufacturing Lead,PLT-004,PRD-118,Completed,2026-04-16,False,
TRN-50086,CHG-40003,Operator,PLT-003,PRD-117,Completed,2026-02-05,False,
TRN-50087,CHG-40019,Operator,PLT-001,PRD-123,Pending,2026-01-29,True,Release Hold
TRN-50088,CHG-40016,Supervisor,PLT-004,PRD-101,Completed,2026-03-23,False,
TRN-50089,CHG-40014,Technician,PLT-003,PRD-108,Pending,2026-04-06,False,Release Hold
TRN-50090,CHG-40003,Supervisor,PLT-003,PRD-117,Completed,2026-02-14,False,
TRN-50091,CHG-40022,Technician,PLT-001,PRD-109,Incomplete,2026-01-13,True,Release Blocked
TRN-50092,CHG-40012,Manufacturing Lead,PLT-002,PRD-119,Pending,2026-05-24,False,
TRN-50093,CHG-40018,QA Specialist,PLT-005,PRD-120,Completed,2026-05-04,False,Release Hold
TRN-50094,CHG-40008,Operator,PLT-005,PRD-114,Completed,2026-01-29,False,Pending QA Review
TRN-50095,CHG-40005,Manufacturing Lead,PLT-004,PRD-118,Overdue,2026-03-24,True,Release Blocked
TRN-50096,CHG-40030,Supervisor,PLT-003,PRD-115,Pending,2026-03-19,True,Pending QA Review
TRN-50097,CHG-40020,Manufacturing Lead,PLT-002,PRD-104,Completed,2026-02-20,False,
TRN-50098,CHG-40009,Validation Engineer,PLT-003,PRD-103,Completed,2026-01-13,False,Pending QA Review
TRN-50099,CHG-40030,Supervisor,PLT-003,PRD-115,Incomplete,2026-03-26,True,Release Blocked
TRN-50100,CHG-40030,Manufacturing Lead,PLT-003,PRD-115,Incomplete,2026-03-10,False,Pending QA Review
TRN-50101,CHG-40005,Operator,PLT-004,PRD-118,Completed,2026-04-02,False,Release Hold
TRN-50102,CHG-40017,QA Specialist,PLT-005,PRD-117,Completed,2026-06-01,False,Release Hold
TRN-50103,CHG-40015,Technician,PLT-002,PRD-112,Completed,2026-05-19,False,Pending QA Review
TRN-50104,CHG-40003,Operator,PLT-003,PRD-117,Completed,2026-02-05,False,Pending QA Review
TRN-50105,CHG-40018,Technician,PLT-005,PRD-120,Incomplete,2026-05-04,False,Release Hold
TRN-50106,CHG-40018,Operator,PLT-005,PRD-120,Completed,2026-04-20,False,
TRN-50107,CHG-40010,Technician,PLT-002,PRD-121,Incomplete,2026-02-22,True,Release Blocked
TRN-50108,CHG-40011,QA Specialist,PLT-002,PRD-113,Completed,2026-01-20,False,Pending QA Review
TRN-50109,CHG-40002,Supervisor,PLT-003,PRD-104,Completed,2026-02-01,False,Pending QA Review
TRN-50110,CHG-40023,Technician,PLT-002,PRD-109,Completed,2026-01-10,False,Release Hold
TRN-50111,CHG-40022,Supervisor,PLT-001,PRD-109,Completed,2026-01-22,False,
TRN-50112,CHG-40004,Operator,PLT-001,PRD-120,Incomplete,2026-02-04,True,Release Blocked
TRN-50113,CHG-40024,Technician,PLT-004,PRD-122,Completed,2026-05-18,False,Pending QA Review
TRN-50114,CHG-40025,QA Specialist,PLT-001,PRD-125,Pending,2026-01-22,True,Pending QA Review
TRN-50115,CHG-40006,Validation Engineer,PLT-003,PRD-111,Completed,2026-04-12,False,
TRN-50116,CHG-40024,Supervisor,PLT-004,PRD-122,Completed,2026-05-18,False,Pending QA Review
TRN-50117,CHG-40019,Manufacturing Lead,PLT-001,PRD-123,Completed,2026-01-29,False,
TRN-50118,CHG-40004,QA Specialist,PLT-001,PRD-120,Overdue,2026-02-04,False,Pending QA Review
TRN-50119,CHG-40015,Operator,PLT-002,PRD-112,Pending,2026-05-12,True,
TRN-50120,CHG-40023,Manufacturing Lead,PLT-002,PRD-109,Incomplete,2026-01-17,True,Release Blocked
TRN-50121,CHG-40018,Manufacturing Lead,PLT-005,PRD-120,Overdue,2026-05-04,True,Release Blocked
TRN-50122,CHG-40023,QA Specialist,PLT-002,PRD-109,Completed,2026-01-17,False,
TRN-50123,CHG-40008,Technician,PLT-005,PRD-114,Pending,2026-01-29,False,
TRN-50124,CHG-40012,QA Specialist,PLT-002,PRD-119,Completed,2026-05-08,False,Release Hold
TRN-50125,CHG-40008,Technician,PLT-005,PRD-114,Incomplete,2026-01-15,False,Release Hold
TRN-50126,CHG-40017,Technician,PLT-005,PRD-117,Overdue,2026-05-23,False,
TRN-50127,CHG-40018,Manufacturing Lead,PLT-005,PRD-120,Incomplete,2026-04-11,False,Pending QA Review
TRN-50128,CHG-40013,Validation Engineer,PLT-005,PRD-118,Pending,2026-02-27,True,
TRN-50129,CHG-40005,Supervisor,PLT-004,PRD-118,Completed,2026-04-16,False,
TRN-50130,CHG-40024,Validation Engineer,PLT-004,PRD-122,Completed,2026-05-11,False,Release Hold
TRN-50131,CHG-40025,Technician,PLT-001,PRD-125,Overdue,2026-01-22,True,Release Blocked
TRN-50132,CHG-40025,QA Specialist,PLT-001,PRD-125,Completed,2026-02-14,False,Release Hold
TRN-50133,CHG-40020,Technician,PLT-002,PRD-104,Completed,2026-03-08,False,Pending QA Review
TRN-50134,CHG-40001,Operator,PLT-003,PRD-102,Completed,2026-03-30,False,Pending QA Review
TRN-50135,CHG-40024,Operator,PLT-004,PRD-122,Completed,2026-05-25,False,Release Hold
TRN-50136,CHG-40014,QA Specialist,PLT-003,PRD-108,Completed,2026-04-06,False,Pending QA Review
TRN-50137,CHG-40024,Operator,PLT-004,PRD-122,Incomplete,2026-05-18,True,Release Blocked
TRN-50138,CHG-40015,Operator,PLT-002,PRD-112,Incomplete,2026-05-03,True,Release Blocked
TRN-50139,CHG-40022,Manufacturing Lead,PLT-001,PRD-109,Completed,2026-01-22,False,Release Hold
TRN-50140,CHG-40020,Manufacturing Lead,PLT-002,PRD-104,Pending,2026-03-15,False,Release Hold
TRN-50141,CHG-40017,Validation Engineer,PLT-005,PRD-117,Completed,2026-06-08,False,Release Hold
TRN-50142,CHG-40009,Supervisor,PLT-003,PRD-103,Incomplete,2026-01-22,False,Pending QA Review
TRN-50143,CHG-40018,Manufacturing Lead,PLT-005,PRD-120,Completed,2026-04-27,False,Pending QA Review
TRN-50144,CHG-40021,Validation Engineer,PLT-002,PRD-107,Completed,2026-03-02,False,Release Hold
TRN-50145,CHG-40017,Technician,PLT-005,PRD-117,Incomplete,2026-05-23,False,Release Hold
TRN-50146,CHG-40004,Manufacturing Lead,PLT-001,PRD-120,Completed,2026-02-20,False,Release Hold
TRN-50147,CHG-40011,QA Specialist,PLT-002,PRD-113,Pending,2026-01-27,True,Pending QA Review
TRN-50148,CHG-40013,QA Specialist,PLT-005,PRD-118,Completed,2026-02-20,False,
TRN-50149,CHG-40020,Validation Engineer,PLT-002,PRD-104,Incomplete,2026-02-20,False,Pending QA Review
TRN-50150,CHG-40009,Technician,PLT-003,PRD-103,Incomplete,2026-01-13,True,Release Blocked
TRN-50151,CHG-40017,Manufacturing Lead,PLT-005,PRD-117,Pending,2026-06-08,False,Pending QA Review
TRN-50152,CHG-40009,Supervisor,PLT-003,PRD-103,Incomplete,2026-02-05,True,Release Blocked
TRN-50153,CHG-40015,QA Specialist,PLT-002,PRD-112,Completed,2026-05-12,False,
TRN-50154,CHG-40023,Technician,PLT-002,PRD-109,Completed,2026-01-17,False,
TRN-50155,CHG-40016,Technician,PLT-004,PRD-101,Incomplete,2026-03-30,True,Release Blocked
TRN-50156,CHG-40010,Supervisor,PLT-002,PRD-121,Incomplete,2026-02-22,True,Release Blocked
TRN-50157,CHG-40013,Technician,PLT-005,PRD-118,Completed,2026-02-20,False,
TRN-50158,CHG-40016,Technician,PLT-004,PRD-101,Pending,2026-04-06,False,Release Hold
TRN-50159,CHG-40012,Validation Engineer,PLT-002,PRD-119,Pending,2026-05-24,False,
TRN-50160,CHG-40025,Technician,PLT-001,PRD-125,Completed,2026-01-22,False,Pending QA Review
TRN-50161,CHG-40008,Operator,PLT-005,PRD-114,Completed,2026-01-06,False,
TRN-50162,CHG-40001,Operator,PLT-003,PRD-102,Pending,2026-04-06,True,Pending QA Review
TRN-50163,CHG-40017,Supervisor,PLT-005,PRD-117,Incomplete,2026-06-08,False,Pending QA Review
TRN-50164,CHG-40002,Operator,PLT-003,PRD-104,Incomplete,2026-02-01,True,Release Blocked
TRN-50165,CHG-40002,QA Specialist,PLT-003,PRD-104,Pending,2026-02-10,False,
TRN-50166,CHG-40030,Supervisor,PLT-003,PRD-115,Pending,2026-04-02,True,Pending QA Review
TRN-50167,CHG-40011,Supervisor,PLT-002,PRD-113,Incomplete,2026-01-27,False,Pending QA Review
TRN-50168,CHG-40002,QA Specialist,PLT-003,PRD-104,Completed,2026-02-24,False,Release Hold
TRN-50169,CHG-40019,Supervisor,PLT-001,PRD-123,Pending,2026-01-20,True,Release Hold
TRN-50170,CHG-40018,Technician,PLT-005,PRD-120,Pending,2026-04-20,False,Release Hold
TRN-50171,CHG-40013,Operator,PLT-005,PRD-118,Pending,2026-02-20,False,
TRN-50172,CHG-40001,Supervisor,PLT-003,PRD-102,Incomplete,2026-03-23,True,Release Blocked
TRN-50173,CHG-40009,Validation Engineer,PLT-003,PRD-103,Overdue,2026-01-22,True,Release Blocked
TRN-50174,CHG-40023,Manufacturing Lead,PLT-002,PRD-109,Overdue,2026-01-10,True,Release Blocked
TRN-50175,CHG-40017,Technician,PLT-005,PRD-117,Completed,2026-06-15,False,Release Hold
TRN-50176,CHG-40023,Supervisor,PLT-002,PRD-109,Pending,2026-01-10,True,Release Hold
TRN-50177,CHG-40023,Manufacturing Lead,PLT-002,PRD-109,Incomplete,2026-01-17,False,Pending QA Review
TRN-50178,CHG-40023,Manufacturing Lead,PLT-002,PRD-109,Completed,2026-01-01,False,Pending QA Review
TRN-50179,CHG-40017,Operator,PLT-005,PRD-117,Completed,2026-05-23,False,
TRN-50180,CHG-40010,Manufacturing Lead,PLT-002,PRD-121,Completed,2026-03-01,False,Pending QA Review
TRN-50181,CHG-40019,Technician,PLT-001,PRD-123,Completed,2026-01-29,False,Pending QA Review
TRN-50182,CHG-40024,Manufacturing Lead,PLT-004,PRD-122,Pending,2026-05-25,False,Release Hold
TRN-50183,CHG-40012,Operator,PLT-002,PRD-119,Incomplete,2026-05-08,False,
TRN-50184,CHG-40023,Technician,PLT-002,PRD-109,Completed,2026-01-01,False,Release Hold
TRN-50185,CHG-40010,QA Specialist,PLT-002,PRD-121,Completed,2026-02-06,False,Pending QA Review
TRN-50186,CHG-40017,Technician,PLT-005,PRD-117,Incomplete,2026-06-08,False,Pending QA Review
TRN-50187,CHG-40012,Manufacturing Lead,PLT-002,PRD-119,Completed,2026-05-31,False,Pending QA Review
TRN-50188,CHG-40009,Supervisor,PLT-003,PRD-103,Completed,2026-02-05,False,Pending QA Review
TRN-50189,CHG-40018,Technician,PLT-005,PRD-120,Completed,2026-04-11,False,Release Hold
TRN-50190,CHG-40016,QA Specialist,PLT-004,PRD-101,Pending,2026-03-30,True,Release Hold
TRN-50191,CHG-40024,QA Specialist,PLT-004,PRD-122,Completed,2026-05-11,False,
TRN-50192,CHG-40020,Manufacturing Lead,PLT-002,PRD-104,Completed,2026-03-08,False,Pending QA Review
TRN-50193,CHG-40002,Operator,PLT-003,PRD-104,Completed,2026-02-17,False,
TRN-50194,CHG-40024,Technician,PLT-004,PRD-122,Completed,2026-05-25,False,Release Hold
TRN-50195,CHG-40017,Validation Engineer,PLT-005,PRD-117,Incomplete,2026-06-08,False,
TRN-50196,CHG-40009,Manufacturing Lead,PLT-003,PRD-103,Completed,2026-01-13,False,Pending QA Review
TRN-50197,CHG-40004,Supervisor,PLT-001,PRD-120,Overdue,2026-02-27,True,Release Blocked
TRN-50198,CHG-40010,Technician,PLT-002,PRD-121,Completed,2026-02-06,False,Release Hold
TRN-50199,CHG-40022,QA Specialist,PLT-001,PRD-109,Completed,2026-02-05,False,Pending QA Review
TRN-50200,CHG-40014,Supervisor,PLT-003,PRD-108,Completed,2026-04-06,False,
TRN-50201,CHG-40020,Validation Engineer,PLT-002,PRD-104,Completed,2026-03-08,False,Release Hold
TRN-50202,CHG-40014,Manufacturing Lead,PLT-003,PRD-108,Completed,2026-04-06,False,Release Hold
TRN-50203,CHG-40024,Technician,PLT-004,PRD-122,Overdue,2026-05-18,False,Release Hold
TRN-50204,CHG-40015,Supervisor,PLT-002,PRD-112,Pending,2026-05-26,False,Release Hold
TRN-50205,CHG-40010,Technician,PLT-002,PRD-121,Completed,2026-02-06,False,Pending QA Review
TRN-50206,CHG-40022,Manufacturing Lead,PLT-001,PRD-109,Completed,2026-01-29,False,Release Hold
TRN-50207,CHG-40010,Validation Engineer,PLT-002,PRD-121,Incomplete,2026-02-22,False,Pending QA Review
TRN-50208,CHG-40006,QA Specialist,PLT-003,PRD-111,Pending,2026-04-19,False,Release Hold
TRN-50209,CHG-40006,Operator,PLT-003,PRD-111,Pending,2026-04-12,True,Release Hold
TRN-50210,CHG-40003,Supervisor,PLT-003,PRD-117,Completed,2026-02-05,False,Pending QA Review
TRN-50211,CHG-40018,QA Specialist,PLT-005,PRD-120,Incomplete,2026-05-04,False,Pending QA Review
TRN-50212,CHG-40016,Validation Engineer,PLT-004,PRD-101,Completed,2026-03-30,False,Pending QA Review
TRN-50213,CHG-40021,Technician,PLT-002,PRD-107,Incomplete,2026-03-11,True,Release Blocked
TRN-50214,CHG-40016,Operator,PLT-004,PRD-101,Completed,2026-04-06,False,Release Hold
TRN-50215,CHG-40011,Operator,PLT-002,PRD-113,Completed,2026-01-13,False,Pending QA Review
TRN-50216,CHG-40016,Technician,PLT-004,PRD-101,Incomplete,2026-03-23,True,Release Blocked
TRN-50217,CHG-40016,Validation Engineer,PLT-004,PRD-101,Incomplete,2026-03-14,True,Release Blocked
TRN-50218,CHG-40004,QA Specialist,PLT-001,PRD-120,Completed,2026-02-20,False,Release Hold
TRN-50219,CHG-40004,QA Specialist,PLT-001,PRD-120,Overdue,2026-02-20,True,Release Blocked
TRN-50220,CHG-40002,Manufacturing Lead,PLT-003,PRD-104,Incomplete,2026-02-01,False,
TRN-50221,CHG-40005,Technician,PLT-004,PRD-118,Completed,2026-04-16,False,
TRN-50222,CHG-40025,Operator,PLT-001,PRD-125,Completed,2026-02-07,False,Pending QA Review
TRN-50223,CHG-40015,Validation Engineer,PLT-002,PRD-112,Completed,2026-05-26,False,Release Hold
TRN-50224,CHG-40030,Supervisor,PLT-003,PRD-115,Incomplete,2026-03-19,False,Release Hold
TRN-50225,CHG-40006,Supervisor,PLT-003,PRD-111,Incomplete,2026-04-19,False,Pending QA Review
TRN-50226,CHG-40018,Manufacturing Lead,PLT-005,PRD-120,Incomplete,2026-04-20,False,Pending QA Review
TRN-50227,CHG-40017,Manufacturing Lead,PLT-005,PRD-117,Completed,2026-06-08,False,Pending QA Review
TRN-50228,CHG-40015,Operator,PLT-002,PRD-112,Pending,2026-05-26,False,Pending QA Review
TRN-50229,CHG-40020,Operator,PLT-002,PRD-104,Completed,2026-02-20,False,Pending QA Review
TRN-50230,CHG-40017,Validation Engineer,PLT-005,PRD-117,Completed,2026-06-15,False,Pending QA Review
TRN-50231,CHG-40012,Validation Engineer,PLT-002,PRD-119,Completed,2026-05-31,False,Release Hold
TRN-50232,CHG-40015,Operator,PLT-002,PRD-112,Completed,2026-05-12,False,
TRN-50233,CHG-40005,Validation Engineer,PLT-004,PRD-118,Completed,2026-04-16,False,Release Hold
TRN-50234,CHG-40016,Operator,PLT-004,PRD-101,Pending,2026-04-06,True,Pending QA Review
TRN-50235,CHG-40002,Supervisor,PLT-003,PRD-104,Completed,2026-02-10,False,Release Hold
TRN-50236,CHG-40010,Manufacturing Lead,PLT-002,PRD-121,Incomplete,2026-03-01,False,
TRN-50237,CHG-40024,Supervisor,PLT-004,PRD-122,Completed,2026-05-02,False,Pending QA Review
TRN-50238,CHG-40023,Operator,PLT-002,PRD-109,Completed,2026-01-10,False,
TRN-50239,CHG-40016,Manufacturing Lead,PLT-004,PRD-101,Completed,2026-03-23,False,Release Hold
TRN-50240,CHG-40024,Validation Engineer,PLT-004,PRD-122,Completed,2026-05-18,False,Release Hold
TRN-50241,CHG-40022,Technician,PLT-001,PRD-109,Completed,2026-01-13,False,Pending QA Review
TRN-50242,CHG-40021,Validation Engineer,PLT-002,PRD-107,Completed,2026-03-11,False,Pending QA Review
TRN-50243,CHG-40030,QA Specialist,PLT-003,PRD-115,Completed,2026-04-02,False,
TRN-50244,CHG-40018,QA Specialist,PLT-005,PRD-120,Incomplete,2026-04-20,True,Release Blocked
TRN-50245,CHG-40005,Manufacturing Lead,PLT-004,PRD-118,Overdue,2026-03-24,False,
TRN-50246,CHG-40019,Technician,PLT-001,PRD-123,Completed,2026-02-05,False,Release Hold
TRN-50247,CHG-40021,Manufacturing Lead,PLT-002,PRD-107,Incomplete,2026-03-18,False,Release Hold
TRN-50248,CHG-40017,Manufacturing Lead,PLT-005,PRD-117,Completed,2026-06-01,False,Pending QA Review
TRN-50249,CHG-40002,Validation Engineer,PLT-003,PRD-104,Completed,2026-02-10,False,Release Hold
TRN-50250,CHG-40022,Operator,PLT-001,PRD-109,Completed,2026-01-13,False,Release Hold
TRN-50251,CHG-40015,Supervisor,PLT-002,PRD-112,Completed,2026-05-12,False,
TRN-50252,CHG-40014,Manufacturing Lead,PLT-003,PRD-108,Incomplete,2026-03-21,True,Release Blocked
TRN-50253,CHG-40018,Manufacturing Lead,PLT-005,PRD-120,Incomplete,2026-05-04,True,Release Blocked
TRN-50254,CHG-40005,Validation Engineer,PLT-004,PRD-118,Completed,2026-03-24,False,Release Hold
TRN-50255,CHG-40014,QA Specialist,PLT-003,PRD-108,Incomplete,2026-03-21,True,Release Blocked
TRN-50256,CHG-40008,Technician,PLT-005,PRD-114,Pending,2026-01-15,False,
TRN-50257,CHG-40014,QA Specialist,PLT-003,PRD-108,Completed,2026-03-30,False,Release Hold
TRN-50258,CHG-40024,Supervisor,PLT-004,PRD-122,Overdue,2026-05-25,False,
TRN-50259,CHG-40013,Supervisor,PLT-005,PRD-118,Completed,2026-02-27,False,Pending QA Review
TRN-50260,CHG-40022,Operator,PLT-001,PRD-109,Completed,2026-01-13,False,
TRN-50261,CHG-40016,QA Specialist,PLT-004,PRD-101,Overdue,2026-03-23,True,Release Blocked
TRN-50262,CHG-40002,Operator,PLT-003,PRD-104,Completed,2026-02-01,False,Release Hold
TRN-50263,CHG-40025,Manufacturing Lead,PLT-001,PRD-125,Pending,2026-02-07,True,
TRN-50264,CHG-40011,QA Specialist,PLT-002,PRD-113,Completed,2026-01-27,False,Release Hold
TRN-50265,CHG-40003,Technician,PLT-003,PRD-117,Incomplete,2026-02-28,False,
TRN-50266,CHG-40005,Supervisor,PLT-004,PRD-118,Incomplete,2026-04-16,True,Release Blocked
TRN-50267,CHG-40006,Validation Engineer,PLT-003,PRD-111,Overdue,2026-04-19,False,
TRN-50268,CHG-40004,Operator,PLT-001,PRD-120,Completed,2026-02-20,False,Release Hold
TRN-50269,CHG-40016,Supervisor,PLT-004,PRD-101,Completed,2026-04-06,False,Release Hold
TRN-50270,CHG-40019,Manufacturing Lead,PLT-001,PRD-123,Pending,2026-02-05,True,
